id,routine,thread,avgPercent,avgTime,minTime,maxTime,stddev,avgTimeTotal,minTimeTotal,maxTimeTotal,numCalls,cumulative,imbalance,index
2524,RRTM_KGB15,1,0,0.0081818182,0.008,0.009,0.0003886502,0.0081818182,0.008,0.009,66,454.907,11.1111111111,587
2525,GATH_SPEC,1,0,0.0077727273,0,0.009,0.0010640338,0.0780454545,0.001,0.08,66,454.883,100,588
2527,SU_AER_CLIMATOLOGY,1,0,0.009469697,0.008,0.022,0.0037548725,3.0435909091,3.041,3.046,132,454.874,63.6363636364,589
2528,radiation_pdf_sampler:setup,1,0,0.0075606061,0.007,0.008,0.0005001165,0.0075606061,0.007,0.008,66,455.004,12.5,590
2531,SUVSPLIP,1,0,0.008,0.008,0.008,0,0.008,0.008,0.008,66,454.915,0,591
2536,TRACARE,1,0,0.008,0.008,0.008,0,0.008,0.008,0.008,66,454.923,0,592
2543,FPTSA_DIR,1,0,0.0076363636,0.007,0.009,0.0005720776,0.0077727273,0.007,0.009,396,454.899,22.2222222222,593
2548,AIRSEA,6,0,0.0065328283,0.005,0.008,0.0006132983,0.0723611111,0.057,0.084,1821534,455.018,37.5,594
2555,IOPACK,1,0,0.0079090909,0.007,0.008,0.0002896827,0.007969697,0.007,0.008,198,454.946,12.5,595
2556,SUPHY,1,0,0.0077878788,0.004,0.01,0.0020866989,1.1092272727,1.104,1.116,66,454.692,60,596
2561,SUBFPOS,1,0,0.0072121212,0.006,0.008,0.0005952414,0.3016363636,0.3,0.303,66,454.99,25,597
2563,SUECAEBC,1,0,0.0072272727,0.007,0.008,0.0004222815,0.0148939394,0.014,0.015,66,454.961,12.5,598
2564,>TRS-FTDIR_CTL   - DIRECT ( 106),1,0.0001515152,0.0068939394,0.003,0.023,0.0027908024,3.8202878788,3.217,4.294,6798,454.824,86.9565217391,599
2566,SUMPFPOS,1,0,0.0070606061,0.007,0.008,0.0002404347,0.0070606061,0.007,0.008,66,454.969,12.5,600
2569,SUTRANS,1,0,0.0069545455,0.006,0.007,0.0002098951,0.3617272727,0.361,0.362,66,454.997,14.2857142857,601
2571,SURFACE_FIELDS_MIX:GPOPER,1,0,0.0066969697,0.006,0.007,0.0004630899,0.0199848485,0.019,0.021,40986,455.03,14.2857142857,602
2573,SUGENORD,1,0,0.007,0.007,0.007,0,0.007,0.007,0.007,66,455.011,0,603
2575,IO_SERV_MAP_SEND_PART1,1,0,0.0070757576,0.006,0.008,0.000563249,0.0096666667,0.008,0.016,1584,454.954,25,604
2576,>OMP-IFSTOWAM 2           (1437),6,0,0.0066237374,0.005,0.01,0.001322576,0.0217651515,0.017,0.035,38016,455.124,50,605
2578,>OMP-SULEG - SUPOLF       (1251),6,0,0.0056414141,0.004,0.007,0.0005255035,0.0056414141,0.004,0.007,5040,455.096,42.8571428571,606
2581,FEMEAN,6,0,0.0059570707,0.005,0.007,0.0003970467,0.0060252525,0.005,0.007,141570,455.14,28.5714285714,607
2584,PPVVEL,6,0,0.0053484848,0.004,0.009,0.0008173887,0.0159949495,0.011,0.031,245520,455.251,55.5555555556,608
2586,TRANSINVH,1,0,0.0060606061,0.006,0.007,0.0002404347,26.3168787879,22.795,30.414,6402,455.024,14.2857142857,609
2587,SUSI,1,0,0.0049393939,0,0.008,0.0025772901,0.0289545455,0.025,0.032,66,455.661,100,610
2592,INV_TRANS,1,0,0.0060454545,0.005,0.007,0.0004781959,27.1852272727,23.751,31.203,6600,455.061,28.5714285714,611
2593,RADDRV,1,0,0.0031212121,0.001,0.006,0.0017586284,24.9542424242,24.153,25.599,594,455.521,83.3333333333,612
2594,SUVERTFE3D,1,0,0.0060454545,0.006,0.009,0.0003692745,0.0071212121,0.007,0.012,66,455.101,33.3333333333,613
2595,radiation_cloud:crop_cloud_fraction,6,0,0.0056010101,0.005,0.007,0.0005005303,0.0056893939,0.005,0.007,121770,455.203,28.5714285714,614
2596,SUECAEC:PART3,1,0,0.0058787879,0.005,0.007,0.0006682964,0.0058787879,0.005,0.007,66,455.055,28.5714285714,615
2598,GRIB_UTILS_MOD:GRIB_SET_PARAMETER,1,0,0.0057142857,0.001,0.006,0.0011689566,0.0729,0.069,0.098,4572,455.096,83.3333333333,616
2599,>OMP-SPNORMD              (1651),6,0,0.0051010101,0.005,0.006,0.0003017233,0.0051111111,0.005,0.006,2376,455.16,16.6666666667,617
2601,SUVERTFE3,1,0,0.0060454545,0.006,0.008,0.0002735419,0.0092424242,0.008,0.013,66,455.107,25,618
2604,radiation_flux:allocate,6,0,0.0030959596,0.002,0.006,0.0006489593,0.0031565657,0.002,0.006,121770,455.349,66.6666666667,619
2608,CLAERVIS,6,0,0.0051439394,0.005,0.008,0.0003724549,0.0059217172,0.005,0.008,1023000,455.16,37.5,620
2610,FULLPOS_DRV,1,0,0.0058030303,0.005,0.007,0.0007064472,4.3886212121,4.074,4.847,594,455.145,28.5714285714,621
2612,>MPL-BROADCAST IN INMARS I( 619),1,0,0.0084393939,0.005,0.012,0.002578782,0.0084393939,0.005,0.012,132,454.434,58.3333333333,622
2617,>OMP-WVRG2XF              (1426),6,0,0.0052272727,0.004,0.007,0.0004707803,0.0052373737,0.004,0.007,38016,455.175,42.8571428571,623
2618,HQR2,1,0,0.0050151515,0.005,0.006,0.0001230915,0.0050151515,0.005,0.006,66,455.129,16.6666666667,624
2619,FIELD_DEFINITIONS:MAIN_FIELD_SET_METADATA,1,0,0.004530303,0.001,0.005,0.0006614599,0.004530303,0.001,0.005,198,455.225,80,625
2621,radiation_single_level:allocate,6,0,0.0039570707,0.002,0.007,0.00105575,0.0042979798,0.003,0.007,121770,455.408,71.4285714286,626
2622,SUVV1,1,0,0.0047424242,0.004,0.006,0.0007506019,0.0049242424,0.004,0.006,66,455.043,33.3333333333,627
2623,NEWWIND,1,0,0.0046818182,0.003,0.009,0.0014692656,0.0144090909,0.009,0.021,6336,455.118,66.6666666667,628
2627,ALLOCATE_EMPTY_TRAJECTORY,1,0,0.0049848485,0.001,0.006,0.0007940631,0.0049848485,0.001,0.006,66,455.135,83.3333333333,629
2635,>TRS-LTDIR_CTL   - DIRECT ( 103),1,0,0.0050909091,0.004,0.006,0.000381385,2.5248333333,2.339,2.704,6798,455.16,33.3333333333,630
2638,>OMP-WAM CLOSEND          (1491),6,0,0.0052651515,0.004,0.007,0.0006307703,0.005290404,0.004,0.007,38016,455.129,42.8571428571,631
2642,CLOSEND,1,0,0.0041060606,0.003,0.006,0.0004342558,0.0093787879,0.008,0.011,6336,455.255,50,632
2645,STHQ,6,0,0.0046994949,0.004,0.005,0.0004590576,0.0047727273,0.004,0.005,84942,455.271,20,633
2647,IO_SERV_RECLAIM_BUF_SPACE,1,0,0.0012878788,0,0.007,0.0017954228,0.0013333333,0,0.007,5082,455.64,100,634
2652,IO_SERV_WV_SUIOSCTMPL:MKWVSSORT,1,0.0004285714,0.0055857143,0.002,0.145,0.0169325113,0.0055857143,0.002,0.145,70,455.44,98.6206896552,635
2656,>OMP-SCAN2M HPOS          (1434),6,0,0.0020808081,0.001,0.007,0.0010450778,0.0298914141,0.025,0.032,3564,455.602,85.7142857143,636
2660,GSTATS_LABEL_IFS,1,0,0.0043181818,0.003,0.005,0.0005010479,0.0043181818,0.003,0.005,66,455.14,40,637
